Year,Semester,Course_Number,English_Name,Section,Lecturer_Name,Lecturer_ID,Department,Day,Time,Room,Room_ID,Registered_Students,Room_Capacity,Online,Start_Time,End_Time,islab,Department_ID,Credit Hours
2022-2023,First Semester,11212,data structures and introduction to algorithms,2,Dr. Ibrahim Alharfialbluwi,22,Computer Science,Mon Wed,12:00-13:30,205,4,39,49,no,12:00,13:30,False,1113,3
2022-2023,First Semester,11212,data structures and introduction to algorithms,3,Dr. Manaf Gharaibeh,19,Computer Science,Sun Tue Thu,10:00-11:00,205,4,32,49,no,10:00,11:00,False,1113,3
2022-2023,First Semester,11212,data structures and introduction to algorithms,6,Dr. Manaf Gharaibeh,19,Computer Science,Mon Wed,09:00-10:30,205,4,17,49,no,09:00,10:30,False,1113,3
2022-2023,First Semester,11213,data structures and algorithms for cybersecurity,1,Dr. Khaled Mahmoud,23,Computer Science,Mon Wed,15:00-16:30,204,2,22,52,no,15:00,16:30,False,1113,3
2022-2023,First Semester,11253,object oriented programming lab,1,Yousef Yaseen,3,Computer Science,Sun,09:00-12:00,online,1,12,24,online,09:00,12:00,True,1113,1
2022-2023,First Semester,11253,object oriented programming lab,2,Dr. Raghda Hriez,20,Computer Science,Sun,12:00-15:00,online,1,19,24,online,12:00,15:00,True,1113,1
2022-2023,First Semester,11253,object oriented programming lab,3,Dr. Raghda Hriez,20,Computer Science,Sun,15:00-18:00,online,1,22,24,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11253,object oriented programming lab,4,Rahmeh Ibrahim,12,Computer Science,Mon,09:00-12:00,online,1,21,24,online,09:00,12:00,True,1113,1
2022-2023,First Semester,11253,object oriented programming lab,5,Dr. Samer Sawalha,24,Computer Science,Mon,15:00-18:00,online,1,24,24,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11253,object oriented programming lab,7,Remah Bani Younisse,25,Computer Science,Tue,15:00-18:00,online,1,23,24,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11253,object oriented programming lab,8,Dr. Samer Sawalha,24,Computer Science,Wed,15:00-18:00,online,1,23,24,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11253,object oriented programming lab,9,Yousef Yaseen,3,Computer Science,Thu,09:00-12:00,online,1,14,24,online,09:00,12:00,True,1113,1
2022-2023,First Semester,11253,object oriented programming lab,10,Ahmad Awwad,26,Computer Science,Thu,15:00-18:00,online,1,20,24,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11313,algorithms design and analysis,1,Dr. Ibrahim Alharfialbluwi,22,Computer Science,Mon Wed,15:00-16:30,205,4,43,49,no,15:00,16:30,False,1113,3
2022-2023,First Semester,11313,algorithms design and analysis,2,Dr. Sufyan Almajali,27,Computer Science,Mon Wed,10:30-12:00,205,4,42,49,no,10:30,12:00,False,1113,3
2022-2023,First Semester,11313,algorithms design and analysis,3,Dr. Sufyan Almajali,27,Computer Science,Sun Tue Thu,12:00-13:00,205,4,41,49,no,12:00,13:00,False,1113,3
2022-2023,First Semester,11313,algorithms design and analysis,4,Dr. Sufyan Almajali,27,Computer Science,Sun Tue Thu,11:00-12:00,205,4,43,49,no,11:00,12:00,False,1113,3
2022-2023,First Semester,11316,theory of computation,1,Dr. Samer Sawalha,24,Computer Science,Mon Wed,12:00-13:30,207,5,26,52,no,12:00,13:30,False,1113,3
2022-2023,First Semester,11323,database systems,1,Prof. Amer Badarneh,28,Computer Science,Mon,13:30-15:00,207,5,43,52,no,13:30,15:00,False,1113,3
2022-2023,First Semester,11323,database systems,2,Dr. Nailah Almadi,29,Computer Science,Mon,09:00-10:30,207,5,41,52,no,09:00,10:30,False,1113,3
2022-2023,First Semester,11323,database systems,3,Dr. Nailah Almadi,29,Computer Science,Mon,12:00-13:30,207,5,43,52,no,12:00,13:30,False,1113,3
2022-2023,First Semester,11323,database systems,4,Prof. Amer Badarneh,28,Computer Science,Mon,10:30-12:00,207,5,42,52,no,10:30,12:00,False,1113,3
2022-2023,First Semester,11323,database systems,80,Dr. Serin Atiani,30,Computer Science,Mon,17:00-20:00,207,5,7,52,no,17:00,20:00,False,1113,3
2022-2023,First Semester,11335,operating systems,1,Dr. Mohammad Ababneh,31,Computer Science,Wed,13:30-15:00,203,6,33,46,no,13:30,15:00,False,1113,3
2022-2023,First Semester,11335,operating systems,2,Dr. Mohammad Ababneh,31,Computer Science,Wed,10:30-12:00,203,6,32,46,no,10:30,12:00,False,1113,3
2022-2023,First Semester,11335,operating systems,3,Dr. Ahmad Altamimi,13,Computer Science,Wed,12:00-13:30,203,6,42,46,no,12:00,13:30,False,1113,3
2022-2023,First Semester,11344,advanced topics in internet programming,1,Dr. Mohammad Abu- Snober,11,Computer Science,Mon Wed,12:00-13:30,202,7,20,60,no,12:00,13:30,False,1113,3
2022-2023,First Semester,11347,electronic business,1,Dr. Raghda Hriez,20,Computer Science,Mon Wed,15:00-16:30,201,8,38,55,no,15:00,16:30,False,1113,3
2022-2023,First Semester,11354,database systems lab,1,Gaith Rjoub,32,Computer Science,Sun,15:00-18:00,online,1,25,25,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11354,database systems lab,2,Eman Alnagi,33,Computer Science,Mon,15:00-18:00,online,1,22,24,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11354,database systems lab,3,Eman Alnagi,33,Computer Science,Wed,15:00-18:00,online,1,23,25,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11354,database systems lab,4,Eman Alnagi,33,Computer Science,Tue,15:00-18:00,online,1,25,25,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11354,database systems lab,5,Rahmeh Ibrahim,12,Computer Science,Thu,15:00-18:00,online,1,21,21,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11355,operating systems lab,1,Ala'A Altarazi,2,Computer Science,Sun,15:00-18:00,online,1,25,25,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11355,operating systems lab,2,Yasmeen Alslman,34,Computer Science,Mon,15:00-18:00,online,1,23,25,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11355,operating systems lab,3,Ala'A Altarazi,2,Computer Science,Tue,15:00-18:00,online,1,24,25,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11355,operating systems lab,4,Yasmeen Alslman,34,Computer Science,Wed,15:00-18:00,online,1,24,25,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11355,operating systems lab,5,Ala'A Altarazi,2,Computer Science,Thu,15:00-18:00,online,1,23,25,online,15:00,18:00,True,1113,1
2022-2023,First Semester,11425,software engineering,2,Dr. Ammar Odeh,4,Computer Science,Wed,09:00-10:30,204,2,5,52,blended,09:00,10:30,False,1113,3
2022-2023,First Semester,11428,artificial intelligence,1,Prof. Rawan Ghnemat,10,Computer Science,Sun Tue Thu,12:00-13:00,it104,9,9,34,no,12:00,13:00,False,1113,3
2022-2023,First Semester,11435,data communications & computer networks,1,Prof. Mohammad Al-Khasawneh,35,Computer Science,Sun Tue Thu,12:00-13:00,204,2,29,52,no,12:00,13:00,False,1113,3
2022-2023,First Semester,11435,data communications & computer networks,2,Prof. Mohammad Al-Khasawneh,35,Computer Science,Mon Wed,12:00-13:30,204,2,24,52,no,12:00,13:30,False,1113,3
2022-2023,First Semester,11436,distributed systems,1,Dr. Osama Al-Haj Hassan,7,Computer Science,Mon Wed,15:00-16:30,207,5,23,52,no,15:00,16:30,False,1113,3
2022-2023,First Semester,11436,distributed systems,2,Prof. Basel Mahafzah,36,Computer Science,Mon Wed,12:00-13:30,207,5,32,52,no,12:00,13:30,False,1113,3
2022-2023,First Semester,11437,network programming,1,Dr. Manaf Gharaibeh,19,Computer Science,Mon Wed,13:30-15:00,it105,10,23,30,no,13:30,15:00,False,1113,3
2022-2023,First Semester,11449,computer and society,1,Prof. Basel Mahafzah,36,Computer Science,Sun,15:00-16:00,online,1,44,44,online,15:00,16:00,False,1113,1
2022-2023,First Semester,11449,computer and society,2,Prof. Basel Mahafzah,36,Computer Science,Mon,15:00-16:30,online,1,43,43,online,15:00,16:30,False,1113,1
2022-2023,First Semester,11449,computer and society,3,Prof. Basel Mahafzah,36,Computer Science,Tue,15:00-16:00,online,1,20,44,online,15:00,16:00,False,1113,1
2022-2023,First Semester,11464,information systems security,1,Prof. Mustafa Al-Fayoumi,37,Computer Science,Sun Tue Thu,13:00-14:00,207,5,41,52,no,13:00,14:00,False,1113,3
2022-2023,First Semester,11466,secure software development,1,Dr. Mu'Awya Al-Dala'Ien,5,Computer Science,Sun Tue Thu,14:00-15:00,203,6,19,46,no,14:00,15:00,False,1113,3
2022-2023,First Semester,11469,secure software development lab,1,Hamam Alakhras,38,Computer Science,Sun,15:00-18:00,ee241 security,11,21,47,no,15:00,18:00,True,1113,1
2022-2023,First Semester,12162,fundamentais of drawing and 2d animation,1,Narmeen Alhyari,15,Computer Graphics,Mon Wed,13:30-15:00,it301,12,21,40,no,13:30,15:00,False,12,3
2022-2023,First Semester,12213,datd structures in visual programming,1,Dr. Mohammad Alzoubi,39,Computer Graphics,Sun Tue Thu,10:00-11:00,it301,12,14,40,no,10:00,11:00,False,12,3
2022-2023,First Semester,12241,website design and web graphics,1,Dr. Sara Tedmori,40,Computer Graphics,Wed,12:00-13:30,203,6,7,46,blended,12:00,13:30,False,12,3
2022-2023,First Semester,12241,website design and web graphics,3,Dr. Sara Tedmori,40,Computer Graphics,Mon,10:30-12:00,203,6,13,46,blended,10:30,12:00,False,12,3
2022-2023,First Semester,12242,webpage design and internet programming lab,1,Narmeen Alhyari,15,Computer Graphics,Sun,12:00-15:00,online,1,17,20,online,12:00,15:00,True,12,1
2022-2023,First Semester,12242,webpage design and internet programming lab,2,Dr. Mohammad Alzoubi,39,Computer Graphics,Mon,15:00-18:00,online,1,18,21,online,15:00,18:00,True,12,1
2022-2023,First Semester,12242,webpage design and internet programming lab,3,Narmeen Alhyari,15,Computer Graphics,Wed,15:00-18:00,online,1,20,20,online,15:00,18:00,True,12,1
2022-2023,First Semester,12243,webpage design and internet programming,1,Dr. Sara Tedmori,40,Computer Graphics,Wed,12:00-13:30,203,6,28,46,blended,12:00,13:30,False,12,3
2022-2023,First Semester,12243,webpage design and internet programming,2,Dr. Mohammad Abu- Snober,11,Computer Graphics,Wed,15:00-16:30,203,6,13,46,blended,15:00,16:30,False,12,3
2022-2023,First Semester,12243,webpage design and internet programming,3,Dr. Sara Tedmori,40,Computer Graphics,Mon,10:30-12:00,203,6,27,46,blended,10:30,12:00,False,12,3
2022-2023,First Semester,12259,computer application in computer graphics,1,Narmeen Alhyari,15,Computer Graphics,Mon,09:00-10:30,it301,12,18,40,blended,09:00,10:30,False,12,3
2022-2023,First Semester,12264,3d-modeling,1,Rosana Marar,41,Computer Graphics,Mon,10:30-12:00,it302,13,20,26,blended,10:30,12:00,False,12,3
2022-2023,First Semester,12273,computer graphics,1,Dr. Yaser Saleh,14,Computer Graphics,Sun Tue Thu,13:00-14:00,it302,13,20,26,no,13:00,14:00,False,12,3
2022-2023,First Semester,12324,human computer interaction,1,Dr. Muhanna Muhanna,42,Computer Graphics,Wed,13:30-15:00,207,5,40,52,blended,13:30,15:00,False,12,3
2022-2023,First Semester,12343,visual programming,1,Dr. Mohammad Ababneh,31,Computer Graphics,Mon,12:00-13:30,203,6,42,46,blended,12:00,13:30,False,12,3
2022-2023,First Semester,12343,visual programming,2,Dr. Mohammad Abu- Snober,11,Computer Graphics,Mon,10:30-12:00,203,6,31,46,blended,10:30,12:00,False,12,3
2022-2023,First Semester,12348,multimedia systems,1,Dr. Baha Khasawneh,16,Computer Graphics,Sun Tue Thu,13:00-14:00,it303,14,44,44,no,13:00,14:00,False,12,3
2022-2023,First Semester,12353,3d materials and lighting,1,Narmeen Alhyari,15,Computer Graphics,Sun Tue Thu,10:00-11:00,it301,12,15,40,no,10:00,11:00,False,12,3
2022-2023,First Semester,12364,3d animation,1,Rosana Marar,41,Computer Graphics,Sun Tue Thu,14:00-15:00,it302,13,20,26,no,14:00,15:00,False,12,3
2022-2023,First Semester,12367,3d rigging and skinning,1,Rosana Marar,41,Computer Graphics,Sun Tue Thu,12:00-13:00,it302,13,21,26,no,12:00,13:00,False,12,3
